Fiscal Year,Category,Type,Scope,Description,Emissions,Emission Category
2022,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",39700,High
2022,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,12600,High
2022,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),2900,High
2022,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,0,Low
2022,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",3000,High
2022,Corporate emissions,Gross emissions,Scope 3,Business travel,113500,High
2022,Corporate emissions,Gross emissions,Scope 3,Employee commute,134200,High
2022,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,10600,High
2022,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),7500,High
2022,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),0,Low
2022,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),0,Low
2022,Corporate emissions,Carbon removals,Unknown,Corporate carbon offsets,-324100,Low
2022,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),13400000,High
2022,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1900000,High
2022,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),4900000,High
2022,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,80000,High
2022,Product life cycle emissions,Carbon removals,Unknown,Product carbon offsets,0,Low
2021,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",40070,High
2021,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,12090,High
2021,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),3040,High
2021,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,0,Low
2021,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",2780,High
2021,Corporate emissions,Gross emissions,Scope 3,Business travel,22850,High
2021,Corporate emissions,Gross emissions,Scope 3,Employee commute,85570,High
2021,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,0,Low
2021,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),0,Low
2021,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),0,Low
2021,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),0,Low
2021,Corporate emissions,Carbon removals,Unknown,Corporate carbon offsets,-167000,Low
2021,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),16200000,High
2021,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1750000,High
